Ref,Val,Package,PosX,PosY,Rot,Side
"BAT1","BS-02-A1AJ010","CR2032_HOLDER",181.311200,189.917800,180.000000,top
"C1","2nF","C_1206_3216Metric",7.626000,88.646200,90.000000,top
"C2","10uF","CAP_L6",234.823000,217.070400,180.000000,top
"C3","10uF","CAP_L6",204.343000,217.070400,180.000000,top
"C4","10uF","CAP_L6",173.863000,217.070400,180.000000,top
"C5","10uF","CAP_L6",143.383000,217.070400,180.000000,top
"C6","8.2nF","C_0603_1608Metric",233.299000,227.357400,-90.000000,top
"C7","8.2nF","C_0603_1608Metric",202.819000,227.357400,-90.000000,top
"C8","8.2nF","C_0603_1608Metric",172.339000,227.357400,-90.000000,top
"C9","8.2nF","C_0603_1608Metric",141.859000,227.357400,-90.000000,top
"C10","100pF","C_0603_1608Metric",223.139000,224.804400,90.000000,top
"C11","10pF","C_0603_1608Metric",192.659000,224.792000,90.000000,top
"C12","10pF","C_0603_1608Metric",162.179000,224.792000,90.000000,top
"C13","10pF","C_0603_1608Metric",131.699000,224.792000,90.000000,top
"C14","750pF","C_0603_1608Metric",218.059000,224.804400,90.000000,top
"C15","2.7nF","C_0603_1608Metric",187.579000,224.792000,90.000000,top
"C16","1.2nF","C_0603_1608Metric",157.099000,224.792000,90.000000,top
"C17","1nF","C_0603_1608Metric",126.619000,224.792000,90.000000,top
"C18","100nF","C_0603_1608Metric",224.282000,221.261400,180.000000,top
"C19","100nF","C_0603_1608Metric",193.802000,221.261400,180.000000,top
"C20","100nF","C_0603_1608Metric",163.322000,221.261400,180.000000,top
"C21","100nF","C_0603_1608Metric",132.842000,221.261400,180.000000,top
"C22","47uF","CAP_L6",225.171000,209.882200,0.000000,top
"C23","47uF","CAP_L6",194.691000,209.882200,0.000000,top
"C24","47uF","CAP_L6",164.211000,209.882200,0.000000,top
"C25","47uF","CAP_L6",133.731000,209.882200,0.000000,top
"C26","47uF","CAP_TANTAL_A",225.809053,205.056200,0.000000,top
"C27","47uF","CAP_TANTAL_A",195.326000,205.056200,0.000000,top
