"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R166,R195,R50,R60,R182,R189,R188,R206,R184,R169,R176,R174,R73,R207,R91,R183,R59,R72,R177,R158,R168,R167,R196,R49,R82,R175,R57,R58,R185";"R_0402_1005Metric";29;"4.7k";;;
2;"C124,C118,C163,C91,C216,C189,C170,C138,C121,C143,C160,C128,C55,C72,C153,C197,C167,C63,C217,C40,C141,C132,C80,C172,C50,C51,C93,C211,C102,C123,C54,C162,C57,C58,C185,C53,C140,C86,C152,C133,C200,C66,C161,C154,C171,C151,C127,C81,C146,C101,C175,C164,C44,C137,C159,C213,C188,C156,C145,C158,C169,C92,C191,C168,C174,C134,C177,C173,C74,C166,C202,C187,C165,C148,C183,C208,C205,C147,C119,C52,C176,C192,C68,C79,C129,C190,C157,C155,C120,C184,C122,C131,C139,C210,C64,C180,C125,C203,C186";"C_0402_1005Metric";99;"100nF";;;
3;"C209,C214,C45,C69,C103,C84,C65,C78,C67,C207,C83,C201,C218,C104,C96,C95,C199,C82,C94,C87,C219";"C_0402_1005Metric";21;"10nF";;;
4;"C31,C35,C20,C21,C18,C38,C37,C39,C19,C36,C34";"C_0603_1608Metric";11;"100nF";;;
5;"C71,C46";"C_0402_1005Metric";2;"4.7uF";;;
6;"R32,R201,R33,R203,R76,R141,R41,R148,R143,R144,R40,R146,R37,R200,R35,R38,R202,R36,R150,R142";"R_0402_1005Metric";20;"10k";;;
7;"C221,C181,C198,C99,C206,C204,C130,C85,C126,C215,C182,C136,C77,C75,C73,C135,C149,C89,C142,C144,C76,C100,C88,C90,C220,C212,C150";"C_0402_1005Metric";27;"10uF";;;
8;"J10,J16,J33,J32";"PinHeader_1x02_P2.54mm_Vertical";4;"Conn_01x02_Pin";;;
9;"R193,R55,R56,R179,R47,R54,R77,R187,R204,R171,R48,R181,R172,R186,R173,R205,R170,R194,R180,R70,R53,R178,R71";"R_0402_1005Metric";23;"1.8k";;;
10;"C6,C7,C9,C8";"C_0603_1608Metric";4;"8.2nF";;;
11;"R102,R111,R115,R103,R118,R108,R113,R110,R116,R121,R122,R114,R109";"R_0402_1005Metric";13;"5.1k";;;
12;"U13,U12";"USB_ESD";2;"PUSB2X4Y-N";;;
13;"FB4,FB2,FB13,FB10,FB3,FB6,FB8,FB7,FB1,FB5,FB9,FB11,FB12";"Ferrite_Bead_100";13;"GZ2012D101TF";;;
14;"R30";"R_0402_1005Metric";1;"28.7k";;;
15;"R5";"R_0603_1608Metric";1;"25.5k";;;
16;"U20";"PCIE_Switch";1;"PI7C9X2G404SLBFDEX";;;
17;"C196,C195,C105,C98";"CAP_L5";4;"47uF";;;
18;"Q10,Q9,Q11,Q21,Q20,Q17,Q13,Q14,Q3,Q16,Q19,Q22,Q8,Q5,Q24,Q12,Q15,Q4,Q23,Q7,Q18,Q6";"SOT-23";22;"BSS138";;;
19;"C12,C11,C13";"C_0603_1608Metric";3;"10pF";;;
20;"JP3,JP2,JP1,JP4";"R_0805_2012Metric";4;"~";;;
21;"S1";"SFP_Connector";1;"HC-SFP-20P";;;
22;"C107,C117,C111,C29,C27,C193,C28,C116,C26,C32,C110,C106,C194";"CAP_TANTAL_A";13;"47uF";;;
23;"U14";"USB_HUB";1;"USB2514B-I_M2";;;
24;"C3,C2,C5,C4";"CAP_L6";4;"10uF";;;
25;"R154,R83,R88,R43,R87,R79,R80,R86,R90,R152,R89,R42,R81";"R_0402_1005Metric";13;"0R";;;
26;"J19,J7";"M2_Slot";2;"1-2199230-5";;;
27;"J6";"MicroSD_Holder";1;"TF-115K";;;
28;"R119,R107,R105,R78,R112,R97,R95,R117,R98,R120,R104,R92,R106,R99,R93,R96,R94";"R_0402_1005Metric";17;"330R";;;
29;"C114,C24,C22,C25,C109,C115,C23,C108";"CAP_L6";8;"47uF";;;
30;"U5";"AMS1117-3.3";1;"AMS1117-3_3";;;
31;"U23,U22";"SOIC-20W_7.5x12.8mm_P1.27mm";2;"ADM3053";;;
32;"R126,R123,R124,R128,R127,R125,R130,R129";"R_0402_1005Metric";8;"33R";;;
33;"H9,H5,H4,H6,H2,H7,H3,H8";"MountingHole_4mm_Pad_Via";8;"MountingHole";;;
34;"J18,J20";"PCIE_x16_Slot";2;"10018784-10213TLF";;;
35;"J23,J24,J22";"RJ45_MAGJACK_HY911130A";3;"HY911130A";;;
36;"R24,R22,R16,R17";"R_0603_1608Metric";4;"10k";;;
37;"C112,C113";"CAP_TANTAL_A";2;"10uF";;;
38;"SW2,SW1";"Tactile_BTN";2;"TSC015A04818B";;;
39;"T1";"NTZD3154NT1G";1;"NTZD3154NT1G";;;
40;"R25,R23,R26";"R_0603_1608Metric";3;"100";;;
41;"R44,R51,R28,R31,R75,R74,R27";"R_0402_1005Metric";7;"100k";;;
42;"R163,R162,R164,R161,R159,R160";"R_0402_1005Metric";6;"1k";;;
